"","ID","US_200BPS","US_200SCLASS","count"
"574",2,2715,7,5
"575",2,2715,132,325
"576",2,2715,180,18
"577",3,11,111,104
"578",3,31,132,450
"579",3,384,132,20
"580",3,1180,120,15
"581",3,1180,132,1049
"582",3,1182,1,358
"583",3,1182,2,74
"584",3,1182,3,1092
"585",3,1182,4,2509
"586",3,1182,5,124
"587",3,1182,120,10
"588",3,1182,132,1857
"589",3,1183,3,2
"590",3,1183,4,6
"591",3,1183,132,4
"592",3,1184,1,17178
"593",3,1184,2,6837
"594",3,1184,3,687
"595",3,1184,4,1493
"596",3,1184,7,15
"597",3,1184,120,80
"598",3,1184,132,95
"599",3,1185,1,553
"600",3,1185,2,262
"601",3,1185,3,31
"602",3,1185,4,46
"603",3,1185,7,2
"604",3,1185,120,2
"605",3,1185,132,52
"606",3,1186,2,27
"607",3,1186,3,55
"608",3,1186,6,6
"609",3,1186,132,44
"610",3,1188,1,3
"611",3,1188,2,18
"612",3,1188,3,11
"613",3,1188,4,23
"614",3,1188,5,124
"615",3,1188,132,20
"616",3,1189,2,3
"617",3,1189,132,1
"618",3,1190,1,10583
"619",3,1190,2,62771
"620",3,1190,3,55129
"621",3,1190,4,7952
"622",3,1190,5,116707
"623",3,1190,6,2
"624",3,1190,7,1757
"625",3,1190,120,4224
"626",3,1190,132,53
"627",3,1196,1,237
"628",3,1196,2,352
"629",3,1196,3,3670
"630",3,1196,6,872
"631",3,1196,7,1
"632",3,1196,120,192
"633",3,1196,132,287
"634",3,1197,1,20
"635",3,1197,2,16
"636",3,1197,132,8
"637",3,1202,1,573
"638",3,1202,2,5118
"639",3,1202,3,2225
"640",3,1202,4,28684
"641",3,1202,6,1
"642",3,1202,7,16
"643",3,1202,120,307
"644",3,1202,132,43
"645",3,1203,1,249
"646",3,1203,2,106
"647",3,1203,3,108
"648",3,1203,4,4683
"649",3,1203,6,29
"650",3,1203,7,56
"651",3,1203,120,211
"652",3,1203,132,2
"653",3,1207,1,4303
"654",3,1207,2,8
"655",3,1207,3,12435
"656",3,1207,4,10003
"657",3,1207,5,36
"658",3,1207,7,21
"659",3,1207,120,46
"660",3,1207,132,14
"661",3,1209,1,12413
"662",3,1209,2,3277
"663",3,1209,3,344044
"664",3,1209,6,19
"665",3,1209,7,375
"666",3,1209,120,2827
"667",3,1209,132,1490
"668",3,1210,1,102
"669",3,1210,2,2056
"670",3,1210,3,14697
"671",3,1210,4,3662
"672",3,1210,7,21
"673",3,1210,120,151
"674",3,1210,132,136
"675",3,1211,1,80
"676",3,1211,2,71
"677",3,1211,3,4310
"678",3,1211,6,1
"679",3,1211,7,86
"680",3,1211,120,227
"681",3,1211,132,1
"682",3,1212,1,6793
"683",3,1212,2,266
"684",3,1212,4,21
"685",3,1212,7,27
"686",3,1212,120,69
"687",3,1212,132,16
"688",3,1213,1,66
"689",3,1213,2,208
"690",3,1213,3,213
"691",3,1213,7,1
"692",3,1213,120,27
"693",3,1213,132,10
"694",3,1214,1,1236
"695",3,1214,2,15471
"696",3,1214,3,9003
"697",3,1214,7,142
"698",3,1214,120,514
"699",3,1214,132,398
"700",3,2705,1,10455
"701",3,2705,2,2697
"702",3,2705,3,155882
"703",3,2705,4,88166
"704",3,2705,5,77049
"705",3,2705,6,293
"706",3,2705,7,322
"707",3,2705,120,1742
"708",3,2705,132,823
"709",4,11,111,111
"710",4,31,132,9701
"711",4,384,132,28
"712",4,404,1,219
"713",4,404,2,39
"714",4,404,132,6
"715",4,1111,132,816
"716",4,1112,132,40
"717",4,1114,1,2037
"718",4,1114,3,581
"719",4,1114,4,2
"720",4,1114,7,18
"721",4,1114,132,1008
"722",4,1120,1,12
"723",4,1120,3,1
"724",4,1120,132,1
"725",4,1124,1,35
"726",4,1124,2,2141
"727",4,1124,3,288
"728",4,1124,7,34
"729",4,1124,132,159
"730",4,1126,3,1
"731",4,1128,1,567
"732",4,1128,2,9896
"733",4,1128,3,6450
"734",4,1128,6,1954
"735",4,1128,7,89
"736",4,1128,132,104
"737",4,1129,1,1
"738",4,1129,2,3683
"739",4,1129,3,1788
"740",4,1129,7,9
"741",4,1130,2,3
"742",4,1131,1,31
"743",4,1131,132,1
"744",4,1132,1,4
"745",4,1132,2,1
"746",4,1133,2,20
"747",4,1133,3,303
"748",4,1133,7,4
"749",4,1133,132,3
"750",4,1135,1,7419
"751",4,1135,7,7
"752",4,1135,120,12
"753",4,1135,132,22
"754",4,1139,1,3834
"755",4,1139,2,5520
"756",4,1139,3,3022
"757",4,1139,7,23
"758",4,1139,132,21
"759",4,1140,1,1062
"760",4,1140,2,2642
"761",4,1140,3,3505
"762",4,1140,4,39
"763",4,1140,7,81
"764",4,1140,132,4029
"765",4,1143,1,21
"766",4,1143,2,751
"767",4,1143,7,10
"768",4,1143,132,38
"769",4,1180,132,1706
"770",4,1182,1,8416
"771",4,1182,2,178
"772",4,1182,3,4037
"773",4,1182,4,1281
"774",4,1182,5,49
"775",4,1182,7,18
"776",4,1182,132,468
"777",4,1182,180,5
"778",4,1183,2,2
"779",4,1183,3,4
"780",4,1184,1,14966
"781",4,1184,2,706
"782",4,1184,3,179
"783",4,1184,4,37
"784",4,1184,120,2
"785",4,1184,132,3
"786",4,1185,1,4949
"787",4,1185,2,126
"788",4,1185,3,41
"789",4,1185,4,14
"790",4,1185,120,19
"791",4,1186,2,1
"792",4,1188,1,7
"793",4,1188,2,11
"794",4,1188,3,13
"795",4,1188,4,3
"796",4,1188,5,3
"797",4,1190,1,3970
"798",4,1190,2,34822
"799",4,1190,3,32915
"800",4,1190,4,497
"801",4,1190,5,18920
"802",4,1190,6,2
"803",4,1190,7,2
"804",4,1190,120,483
"805",4,1190,132,113
"806",4,1193,1,4
"807",4,1193,2,7
"808",4,1193,3,11
"809",4,1193,4,11
"810",4,1196,1,3166
"811",4,1196,2,9895
"812",4,1196,3,32381
"813",4,1196,6,9264
"814",4,1196,7,22
"815",4,1196,120,228
"816",4,1196,132,486
"817",4,1196,180,2
"818",4,1197,1,240
"819",4,1197,2,69
"820",4,1197,132,7
"821",4,1202,1,2860
"822",4,1202,2,9856
"823",4,1202,3,1743
"824",4,1202,4,13163
"825",4,1202,7,29
"826",4,1202,120,112
"827",4,1202,132,53
"828",4,1203,1,2919
"829",4,1203,2,639
"830",4,1203,3,20
"831",4,1203,4,6185
"832",4,1203,6,2
"833",4,1203,7,4
"834",4,1203,120,55
"835",4,1203,132,57
"836",4,1205,2,77
"837",4,1205,3,188
"838",4,1205,4,18
"839",4,1207,1,71250
"840",4,1207,2,359
"841",4,1207,3,22689
"842",4,1207,4,5490
"843",4,1207,5,213
"844",4,1207,120,460
"845",4,1207,132,2
"846",4,1208,4,1
"847",4,1208,6,26
"848",4,1209,1,72166
"849",4,1209,2,24534
"850",4,1209,3,513051
"851",4,1209,6,53
"852",4,1209,7,166
"853",4,1209,120,3654
"854",4,1209,132,15625
"855",4,1209,180,2
"856",4,1210,1,131
"857",4,1210,2,7694
"858",4,1210,3,15006
"859",4,1210,4,4893
"860",4,1210,7,27
"861",4,1210,120,88
"862",4,1210,132,138
"863",4,1211,1,278
"864",4,1211,2,810
"865",4,1211,3,5596
"866",4,1211,7,23
"867",4,1211,120,58
"868",4,1211,132,1
"869",4,1212,1,987
"870",4,1212,2,62
"871",4,1212,7,1
"872",4,1212,120,6
"873",4,1212,132,20
"874",4,1213,1,76
"875",4,1213,2,194
"876",4,1213,3,35
"877",4,1213,7,2
"878",4,1213,120,1
"879",4,1214,1,2977
"880",4,1214,2,21719
"881",4,1214,3,1640
"882",4,1214,7,25
"883",4,1214,120,549
"884",4,1214,132,4734
"885",4,2704,1,224
"886",4,2704,2,1845
"887",4,2704,3,1459
"888",4,2704,6,1
"889",4,2704,7,2
"890",4,2704,132,14
"891",4,2705,1,40963
"892",4,2705,2,22352
"893",4,2705,3,118744
"894",4,2705,4,61167
"895",4,2705,5,29303
"896",4,2705,6,7
"897",4,2705,7,53
"898",4,2705,120,1477
"899",4,2705,132,358
"900",4,2714,1,82
"901",4,2714,2,854
"902",4,2714,3,1268
"903",4,2714,6,2
"904",4,2714,7,12
"905",4,2714,132,13
"906",4,2715,1,1285
"907",4,2715,2,15270
"908",4,2715,3,18116
"909",4,2715,4,148
"910",4,2715,6,7
"911",4,2715,7,55
"912",4,2715,132,467
"913",5,11,111,5107
"914",5,31,132,3481
"915",5,395,1,102062
"916",5,395,2,19427
"917",5,395,7,266
"918",5,395,120,406
"919",5,395,132,623
"920",5,397,1,69083
"921",5,397,2,911
"922",5,397,7,366
"923",5,397,120,142
"924",5,397,132,589
"925",5,398,1,1450
"926",5,398,2,20303
"927",5,398,6,2
"928",5,398,7,101
"929",5,398,132,1007
"930",5,1111,120,19
"931",5,1111,132,84312
"932",5,1111,180,1
"933",5,1114,1,404
"934",5,1114,3,577
"935",5,1114,4,1
"936",5,1114,7,3
"937",5,1114,132,96
"938",5,1115,1,102
"939",5,1115,3,2
"940",5,1124,1,9171
"941",5,1124,2,21743
"942",5,1124,3,17376
"943",5,1124,7,142
"944",5,1124,120,81
"945",5,1124,132,562
"946",5,1125,1,242
"947",5,1125,2,754
"948",5,1125,6,35
"949",5,1125,7,1
"950",5,1125,120,7
"951",5,1125,132,132
"952",5,1126,1,33
"953",5,1126,2,125
"954",5,1126,3,289
"955",5,1126,7,5
"956",5,1126,132,4
"957",5,1128,1,16936
"958",5,1128,2,149470
"959",5,1128,3,50254
"960",5,1128,6,10791
"961",5,1128,7,2538
"962",5,1128,120,384
"963",5,1128,132,2757
"964",5,1128,180,64
"965",5,1129,1,4634
"966",5,1129,2,9556
