"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"59","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",50,0.364705882,589,0,9.8187478
"60","All Fire","11600_15_28",0.0163066,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",65,0.654901961,584,0,9.5230544
"61","All Transitions","10110_15",0.0266674,"Rocky Mountain Aspen Forest and Woodland",52,0.450980392,250,0,6.66685
"62","All Transitions","10160_15_28",0.0266456,"Colorado Plateau Pinyon-Juniper Woodland",15,0.4,12555,0.6,334.535508
"63","All Transitions","10160_16_23_24_25",0.0246766,"Colorado Plateau Pinyon-Juniper Woodland",25,0.4,2137,0.1,52.7338942
"64","All Transitions","10190_15",0.0092816,"Great Basin Pinyon-Juniper Woodland",53,0,40,0,0.371264
"65","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",6,0.517647059,61191,2.8,3319.8809904
"66","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",35,0.517647059,19,0,1.0308336
"67","All Transitions","10240_14_15_24",0.053263,"Madrean Lower Montane Pine-Oak Forest and Woodland",3,0.117647059,141351,6.5,7528.778313
"68","All Transitions","10240_14_15_24",0.053263,"Madrean Lower Montane Pine-Oak Forest and Woodland",36,0.117647059,88,0,4.687144
"69","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",10,0.121568627,31453,1.4,858.6228658
"70","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",37,0.121568627,66,0,1.8017076
"71","All Transitions","10260_15",0.1084506,"Madrean Upper Montane Conifer-Oak Forest and Woodland",54,0.223529412,50,0,5.42253
"72","All Transitions","10510_15_16_17_22_23_24_25",0.1043282,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",12,1,21726,1,2266.6344732
"73","All Transitions","10510_15_16_17_22_23_24_25",0.1043282,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",38,1,26,0,2.7125332
"74","All Transitions","10520_15",0.0565604,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",16,0.901960784,10168,0.5,575.1061472
"75","All Transitions","10520_16_23_24",0.0568552,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",39,0.901960784,0,0,0
"76","All Transitions","10540_15_25",0.1109472,"Southern Rocky Mountain Ponderosa Pine Woodland",1,0,1277151,58.4,141696.3274272
"77","All Transitions","10540_16_23_24",0.0693576,"Southern Rocky Mountain Ponderosa Pine Woodland",9,0,30279,1.4,2100.0787704
"78","All Transitions","10550_15_28",0.016136,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",28,0.745098039,1924,0.1,31.045664
"79","All Transitions","10560_15_28",0.0159924,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",55,0,6,0,0.0959544
"80","All Transitions","10610_15_25",0.0826078,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",13,0,19740,0.9,1630.677972
"81","All Transitions","10640_15_16_17_23_24_27_28",0.0654792,"Colorado Plateau Mixed Low Sagebrush Shrubland",40,0.843137255,300,0,19.64376
"82","All Transitions","10770_15",0.0071574,"Chihuahuan Succulent Desert Scrub",56,0.411764706,3,0,0.0214722
"83","All Transitions","10780_16_23_24_25",0.0412126,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",41,0.811764706,5,0,0.206063
"84","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",18,0.909803922,7698,0.4,110.8481208
"85","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",30,0.909803922,1151,0.1,16.5739396
"86","All Transitions","10810_15_16_23_24_28",0.0630768,"Inter-Mountain Basins Mixed Salt Desert Scrub",26,0.478431373,1560,0.1,98.399808
"87","All Transitions","10810_15_16_23_24_28",0.0630768,"Inter-Mountain Basins Mixed Salt Desert Scrub",57,0.478431373,127,0,8.0107536
"88","All Transitions","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",33,0.28627451,361,0,0.4489396
