class_id,model_label
Late1:OPN,10581_6_D
Late1:CLS,10581_6_E
Early1:ALL,10582_6_A
Mid1:CLS,10582_6_B
Mid1:OPN,10582_6_C
Late1:OPN,10582_6_D
Late1:CLS,10582_6_E
Early1:ALL,10590_24_28_A
Mid1:CLS,10590_24_28_B
Mid1:OPN,10590_24_28_C
Late1:OPN,10590_24_28_D
Early1:OPN,10590_25_A
Mid1:OPN,10590_25_B
Mid1:CLS,10590_25_C
Late1:CLS,10590_25_D
Late2:CLS,10590_25_E
Early1:ALL,10590_26_A
Mid1:CLS,10590_26_B
Late1:CLS,10590_26_C
Late1:OPN,10590_26_D
Early1:OPN,10590_27_33_A
Mid1:OPN,10590_27_33_B
Mid1:CLS,10590_27_33_C
Late1:CLS,10590_27_33_D
Early1:ALL,10600_1_2_7_A
Mid1:CLS,10600_1_2_7_B
Mid1:OPN,10600_1_2_7_C
Late1:OPN,10600_1_2_7_D
Late1:CLS,10600_1_2_7_E
Early1:ALL,10610_13_A
Mid1:CLS,10610_13_B
Mid2:CLS,10610_13_C
Late2:CLS,10610_13_D
Late1:CLS,10610_13_E
Early1:ALL,10610_15_25_A
Mid1:CLS,10610_15_25_B
Mid2:CLS,10610_15_25_C
Late1:ALL,10610_15_25_D
Late1:CLS,10610_15_25_E
Early1:ALL,10610_18_A
Mid1:CLS,10610_18_B
Mid2:CLS,10610_18_C
Late1:OPN,10610_18_D
Late1:CLS,10610_18_E
Early1:ALL,10610_20_29_A
Mid1:CLS,10610_20_29_B
Late1:OPN,10610_20_29_C
Late1:CLS,10610_20_29_D
Early1:OPN,10610_22_27_28_A
Mid1:CLS,10610_22_27_28_B
Late1:OPN,10610_22_27_28_C
Late1:CLS,10610_22_27_28_D
Early1:CLS,10610_6_A
Mid1:CLS,10610_6_B
Late1:CLS,10610_6_C
Late2:CLS,10610_6_D
Early1:ALL,10610_8_9_17_A
Mid1:CLS,10610_8_9_17_B
Mid2:CLS,10610_8_9_17_C
Late1:OPN,10610_8_9_17_D
Late1:CLS,10610_8_9_17_E
Early1:ALL,10611_16_23_24_A
Mid1:CLS,10611_16_23_24_B
Mid2:CLS,10611_16_23_24_C
Late1:ALL,10611_16_23_24_D
Late1:CLS,10611_16_23_24_E
Early1:CLS,10612_16_23_A
Mid1:CLS,10612_16_23_B
Late1:CLS,10612_16_23_C
Late1:OPN,10612_16_23_D
Early1:ALL,10620_10_19_21_29_31_A
Mid1:CLS,10620_10_19_21_29_31_B
Mid1:OPN,10620_10_19_21_29_31_C
Late1:OPN,10620_10_19_21_29_31_D
Late1:CLS,10620_10_19_21_29_31_E
Early1:ALL,10620_13_A
Mid1:CLS,10620_13_B
Mid1:OPN,10620_13_C
Late1:OPN,10620_13_D
Late1:CLS,10620_13_E
Early1:ALL,10620_16_23_A
Mid1:OPN,10620_16_23_B
Mid1:CLS,10620_16_23_C
Mid2:OPN,10620_16_23_D
Late2:CLS,10620_16_23_E
Early1:ALL,10620_22_28_A
Mid1:OPN,10620_22_28_B
Mid1:CLS,10620_22_28_C
Late1:ALL,10620_22_28_D
Early1:ALL,10620_6_12_17_18_A
Mid1:CLS,10620_6_12_17_18_B
Mid1:OPN,10620_6_12_17_18_C
Late1:OPN,10620_6_12_17_18_D
Late1:CLS,10620_6_12_17_18_E
Early1:ALL,10620_7_9_A
Mid1:OPN,10620_7_9_B
Mid1:CLS,10620_7_9_C
Late1:OPN,10620_7_9_D
Late2:CLS,10620_7_9_E
Early1:ALL,10630_1_A
Late1:ALL,10630_1_B
Early1:ALL,10630_2_7_A
Late1:ALL,10630_2_7_B
Early1:ALL,10640_15_16_17_23_24_27_28_A
Late1:OPN,10640_15_16_17_23_24_27_28_B
Late1:CLS,10640_15_16_17_23_24_27_28_C
Early1:ALL,10650_1_8_9_10_A
Mid1:OPN,10650_1_8_9_10_B
Late1:OPN,10650_1_8_9_10_C
Early1:ALL,10660_16_23_24_A
Late1:ALL,10660_16_23_24_B
Early1:ALL,10660_22_A
Early1:ALL,10660_29_A
Mid1:OPN,10660_29_B
Early1:ALL,10670_6_A
Late1:CLS,10670_6_B
Late1:ALL,10680_1_7_A
Early1:ALL,10700_10_19_28_A
Late1:CLS,10700_10_19_28_B
Early1:ALL,10700_16_A
Late1:CLS,10700_16_B
Early1:ALL,10700_21_A
Late1:CLS,10700_21_B
Early1:ALL,10710_6_A
Late1:CLS,10710_6_B
Early1:ALL,10720_22_29_A
Late1:OPN,10720_22_29_B
Early1:ALL,10720_28_A
Late1:OPN,10720_28_B
Early1:OPN,10740_25_26_A
Late1:OPN,10740_25_26_B
Early1:ALL,10750_25_A
